#separator:tab
#html:false
什么是提升记忆的首选？	间隔重复系统anki
五分钟或者15分钟休息的目标是什么？	高质量，深度的放松，快速恢复精力。
当预计一个活动任务的消耗时间超过三个小时的时候，该怎么办？	这个学习活动持续时间太长，拆成两个学习活动 将其尽可能的任务拆解，拆解成多个四个番茄以内的任务
每一次新的活动开始之前，都要审视一下优先级它的作用是确保什么？	它的作用就是确保每次在做的都是最重要的事。
在进行创作或论文的时候，没有想法，写不出来的时候，咋办？	使用创意流，这个期间，要放任自己的思路，不去否定自己。想到什么写什么。
不同任务分配时间的技巧(需要热身，不需要热身)。	对于那些需要热身才能进入状态的工作，要分配大块的时间。而那些不需要热身就能进入状态的工作，比如背书，分配小块时间，一天多次
为什么要选择让自己精神痛苦的学习方式？（痛苦和高效的关系）	精神上越痛苦的学习方式，意味着续学习越高效。
如果复习这个Anki卡片觉得比较困难，难以前进的时候该怎么办？   【2个方面】	1 就把它而进行最小化，拆解成多张只包含最小的信息单元的卡片。 2 自己的话总结
是否存在不同的学习风格，比如视觉学习，动觉学习，听觉学习者。这个理论是正确的吗	这样理论是错误的因为所有人学习方式的共性是大于差异
创意流的关键	一个小时内，想到啥就写啥，不去审视，不去修改
训练前最重要是搞清楚什么？	搞清楚弱点/边界，要提高什么，高于目前自己水平和能力的事情。
问：避免死记硬背（rote knowledge）的两个方式？？	「转述」：是否用自己的话重新表述了，还是仅照搬了原话；已有的信息关联「联系」：是否与已有知识或相关经验进行了联系，还是仅重复了已有的信息。实际情况关联
自己记笔记是一个主动建构的过程，我们会将{{c1::新知}}与「{{c1::已有知识，自己经验}}」联系起来	
我们在阅读过程中的收获取决于两个方面： 1、 字面意思，即{{c1::作者说了什么}}； 2、 意义建构，即{{c1::读者想到了什么}}。	
anki里面的搁置是什么意思？ 就是将笔记{{c1::推迟到次日复习}}。	
《剑桥学习科学手册》认为：从新手到专家的过程中，学习有三个特点：① {{c1::组}}块；② {{c1::自}}动化；③ {{c1::条}}件化。 这种请人代阅或只读书摘的形式很难了解到知识的适用{{c1::场}}景，也就是无法做到{{c1::条件}}化，知识将会成为无用武之地的{{c1::惰}}性知识	
脑科学家研究发现，人的大脑与身体是分开的个体，睡眠时休息的只有身体，大脑并未休息，而是持续在整理并巩固旧/原有的知识，若能在睡前提供大脑新的素材，大脑就能优先处理并加以分门别类，厘清旧的记忆，以记忆机能为主进行理性的活动，睡醒后就能清楚唤醒昨晚获得的新信息。	
做梦是因为浅睡眠”，这个说法是正确的。以大脑的活动来说，REM睡眠是浅睡眠，NREM睡眠是深睡眠	
这是因为记忆的巩固需要时间，SuperMemo 和 Anki 都把这种过程叫做“mature”（记忆的成熟）。同样是间隔复习 1 次，间隔 1 天 1周 是不一样的。同样是间隔 1 周，复习了 1 次和复习 2 次也是不一样的。间隔越久，次数越多，记忆就越牢固。	
笔记分为是什么，为什么和怎么办 划线笔记适合是什么类型的知识 问答笔记适合为什么和怎么办类型的知识	
